time	flux	flux_err
2911.4183940564853	1.0027138	0.00897355
2911.4197829801287	0.9930614	0.008970798
2911.421171904238	0.9930509	0.008959109
2911.4225608278807	1.0045944	0.008953358
2911.42394975199	1.0066668	0.008966337
2911.4253386756336	0.9931905	0.008932241
2911.4267275997427	0.9806613	0.008920651
2911.428116523386	0.9950941	0.008926613
2911.4295054470294	0.9994532	0.008922456
2911.430894371139	0.997838	0.008915752
2911.432283294782	1.0082581	0.008916981
2911.433672218891	0.99289817	0.0089026
2911.4350611425343	0.99030524	0.008897061
2911.4364500666443	1.0026734	0.008887399
2911.4378389902868	0.9886074	0.00888641
2911.439227913931	0.99328387	0.008869307
2911.44061683804	0.993712	0.008873573
2911.4420057616835	0.99460423	0.008856195
2911.443394685792	1.008088	0.008869661
2911.444783609435	1.0077158	0.008860127
2911.446172533544	0.9857636	0.008839212
2911.447561457187	0.99725425	0.008848043
2911.4489503812956	0.99421597	0.008837725
2911.4503393049395	1.0083239	0.00884091
2911.4517282285833	0.9966688	0.008826057
2911.4531171526924	1.0079327	0.008829015
2911.454506076335	0.99060017	0.008822221
2911.455895000445	0.9942736	0.0088133225
2911.457283924088	1.0128084	0.008821059
2911.4586728481972	0.9890292	0.008798449
2911.4600617718406	0.9882144	0.008791347
2911.4614506959506	1.0080914	0.008799533
2911.4628396195935	0.9917033	0.008782729
2911.4642285432365	0.9972286	0.008792171
2911.465617467346	1.0133418	0.008794895
2911.46700639099	0.99324536	0.008777542
2911.468395315099	0.9947813	0.008779188
2911.4697842387413	0.9977832	0.008766241
2911.4711731628513	0.99889463	0.008764345
2911.4725620864947	1.0091529	0.008770317
2911.4739510106037	0.99304056	0.0087556625
2911.475339934247	1.0075556	0.008762693
2911.476728858357	0.9905464	0.00874792
2911.4781177819996	0.9992669	0.008749706
2911.479506705643	0.9942782	0.008735594
2911.4808956297525	0.98977953	0.008735383
2911.4822845533954	0.9977208	0.008757589
2911.4836734775035	0.98417854	0.008728406
2911.485062401147	1.0004627	0.008734275
2911.486451325256	1.0037386	0.008738399
2911.4878402489	0.99618924	0.008726042
2911.4892291730084	0.9854463	0.00872332
2911.490618096652	0.99596155	0.008723737
2911.492007020761	0.9997939	0.008720791
2911.493395944405	0.98987323	0.008714891
2911.4947848680476	0.9883137	0.008707626
2911.4961737921576	1.0039587	0.00872295
2911.497562715801	0.9961414	0.0087107755
2911.49895163991	0.9861893	0.008699982
2911.500340563553	1.0066199	0.008716736
2911.5017294876625	1.0103177	0.008717849
2911.5031184113063	1.0031905	0.008709083
2911.504507335415	0.99572814	0.008699737
2911.5058962590583	0.9986274	0.008704402
2911.5072851831674	1.0003027	0.008710811
2911.5086741068117	0.99992675	0.00869142
2911.510063030454	0.9956078	0.008692913
2911.511451954563	1.0127937	0.008706894
2911.512840878207	0.9956108	0.00869305
2911.5142298023165	1.0042558	0.008699373
2911.5156187259595	1.0003201	0.008689911
2911.517007650069	1.002284	0.008689728
2911.518396573712	0.99524444	0.00867884
2911.51978549782	1.0036925	0.008684777
2911.521174421463	0.9891763	0.008674717
2911.522563345107	0.9882878	0.008676138
2911.5239522692164	0.98608273	0.008663596
2911.5253411928597	1.0055635	0.0086762635
2911.526730116968	1.0060893	0.008682823
2911.528119040612	0.983438	0.008661707
2911.5295079647212	1.0067273	0.008672848
2911.5308968883646	1.0114158	0.008678094
2911.5322858124737	0.99155575	0.008664971
2911.533674736118	0.9925308	0.008664829
2911.535063660226	1.0009639	0.008667849
2911.5364525838695	0.99743605	0.008663774
2911.5378415075133	0.9984971	0.008666671
2911.539230431623	1.0100955	0.008667955
2911.540619355266	1.0145221	0.008671247
2911.5420082793744	1.0061208	0.008657649
2911.5433972030187	1.0016696	0.00865029
2911.5447861271277	1.0093662	0.008671234
2911.546175050771	1.0031424	0.008651168
2911.547563974414	0.9931462	0.008648467
2911.5489528985236	1.0117934	0.008654454
2911.550341822167	1.0054445	0.00864794
2911.551730746276	0.99856555	0.008650939
2911.55311966992	1.0111116	0.008657357
2911.5545085940284	0.9986322	0.008641068
2911.555897517671	0.99193215	0.008634393
2911.55728644178	1.0119134	0.008657814
2911.5586753654234	1.0105209	0.008647897
2911.560064289067	0.99693614	0.008628041
2911.561453213176	1.0001218	0.008622288
2911.562842136819	1.0106142	0.008640845
2911.5642310609283	0.9901609	0.008618249
2911.5656199845725	0.9836189	0.008614472
