#time	flux	flux_err
2911.8309044200205	0.9988326	0.008318989
2911.8322933436643	0.9911602	0.008312994
2911.833682267308	0.99248517	0.008314535
2911.835071190951	1.0065479	0.008321806
2911.836460114595	1.0113004	0.008323008
2911.8378490382383	1.0090251	0.00831365
2911.8392379618817	0.99599195	0.008307861
2911.840626885525	0.9875203	0.008291272
2911.8420158091685	1.0064402	0.008313032
2911.843404732347	0.99088746	0.008287561
2911.8447936559896	0.9910053	0.008289616
2911.846182579633	1.0024556	0.008290315
2911.8475715032764	1.0111734	0.008299601
2911.848960426919	1.0033926	0.0082984
2911.8503493505623	0.9965667	0.008292585
2911.8517382742057	0.9945237	0.008273656
2911.853127197849	0.9972987	0.008279932
2911.8545161210272	0.99749094	0.008269928
2911.85590504467	0.9820377	0.008266926
2911.857293968314	0.99311423	0.008276782
2911.858682891958	1.0098826	0.008286343
2911.8600718156013	1.0018514	0.008273107
2911.8614607392437	0.99847364	0.008267654
2911.862849662888	0.99735385	0.008262264
2911.8642385860658	1.002686	0.008258307
2911.865627509709	1.0070516	0.008266454
2911.867016433352	0.9993064	0.008250958
2911.868405356996	1.0045447	0.008254796
2911.8697942806393	1.0084441	0.008268342
2911.871183203817	0.9962469	0.008240271
2911.872572127461	1.0094924	0.008255936
2911.8739610511047	0.9929823	0.008246073
2911.8753499747477	1.0063121	0.008239787
2911.8767388983906	0.9900136	0.008242908
2911.878127821569	1.0064174	0.008239548
2911.8795167452126	0.99400836	0.008237572
2911.880905668856	1.0008539	0.008229647
2911.8822945924985	1.0096809	0.008237761
2911.883683516143	1.0147069	0.008242243
2911.88507243932	1.0057755	0.008242661
2911.886461362962	1.0045747	0.008232849
2911.8878502866064	1.002616	0.008228607
2911.88923921025	1.0069531	0.008229653
2911.8906281334275	1.0055145	0.008227114
2911.892017057071	1.0008255	0.008225562
2911.8934059807143	1.0038985	0.008223257
2911.894794904358	0.99562895	0.0082102455
2911.8961838275354	1.0096456	0.008228351
2911.897572751179	1.002258	0.008206875
2911.898961674822	0.9829016	0.008202927
2911.900350598001	0.9989995	0.008207266
2911.9017395216433	0.99561733	0.008208941
2911.9031284452867	1.0115238	0.008220097
2911.9045173689306	0.9995687	0.008205654
2911.9059062921087	0.99370474	0.008198248
2911.9072952157517	1.0051732	0.008211675
2911.9086841393955	1.0021845	0.008212561
2911.9100730625732	0.9932064	0.008208518
2911.9114619862166	0.99957126	0.008198781
2911.91285090986	1.012018	0.008211139
2911.9142398330378	1.0207373	0.0082157105
2911.9156287566816	1.0009898	0.008197992
2911.9170176803245	1.0052387	0.008202591
2911.9184066035023	1.0070113	0.008198742
2911.9197955271457	1.0057015	0.008209998
2911.921184450789	0.99931926	0.00819393
2911.922573373966	1.0033776	0.008184934
2911.9239622976093	1.0101821	0.008201729
2911.9253512212535	1.0019596	0.0081886705
2911.9267401444304	0.996835	0.008195035
2911.9281290680738	1.0021285	0.008190101
2911.9295179917176	1.0022103	0.008187807
2911.930906914896	0.99390084	0.008175456
2911.932295838539	0.9971925	0.008189277
2911.933684761716	1.018308	0.008195235
2911.9350736853603	1.0173887	0.008189799
2911.9364626090037	0.99063987	0.008176423
2911.9378515321814	1.0028812	0.0081799915
2911.939240455825	1.0063683	0.008182447
2911.9406293790034	0.9990795	0.008173267
2911.942018302646	0.993587	0.008173478
2911.9434072262893	1.0012554	0.00817839
2911.9447961494675	1.0048047	0.008173178
2911.9461850731113	1.0019472	0.008173395
2911.9475739962886	0.9917546	0.008170891
2911.9489629199315	0.9908451	0.00816749
2911.9503518431097	0.99437267	0.008163351
2911.9517407667536	1.0009097	0.008168935
2911.9531296899313	0.9936632	0.008168564
2911.954518613574	1.0125159	0.008183446
2911.955907537218	0.9884766	0.008162206
2911.957296460396	1.0033463	0.008163463
2911.9586853840383	0.985454	0.008154957
2911.960074307216	0.9994682	0.008165385
2911.9614632308594	1.0107462	0.008170583
2911.962852154037	1.0025905	0.0081643425
2911.96424107768	1.0070429	0.008165206
2911.9656300008583	1.0102025	0.00816158
2911.9670189245016	0.9977313	0.008155366
2911.9684078476794	0.9994831	0.008161845
2911.9697967713228	1.0150514	0.008168921
2911.9711856945005	1.0034173	0.0081541175
2911.972574618145	0.9998428	0.0081574945
2911.9739635413216	1.0004122	0.008150955
2911.975352464966	1.0099488	0.008166986
2911.9767413881436	0.99776053	0.008148591
2911.9781303113214	1.0022063	0.008156885
2911.9795192349643	0.986725	0.008141112
2911.9809081581425	1.0025731	0.008152733
2911.982297081786	1.0023595	0.008153208
2911.9836860049636	1.00191	0.008150263
2911.985074928607	0.9876603	0.008142633
2911.9864638517847	0.99988943	0.008148414
2911.987852774963	1.0024725	0.008153522
2911.989241698606	1.008953	0.008150287
2911.990630621784	1.0035411	0.008150569
2911.992019545428	1.0000039	0.008147819
2911.9934084686056	0.9919033	0.008145705
2911.9947973922476	0.9974425	0.00815257
2911.996186315425	0.98273444	0.0081337495
2911.9975752386035	0.9976851	0.00814724
2911.998964162246	0.9985968	0.0081475545
2912.0003530854237	1.0087745	0.008157245
2912.001742008602	1.0079465	0.008151187
2912.0031309322458	0.9993644	0.008149959
2912.004519855423	1.0093765	0.008155388
2912.0059087786003	0.997488	0.00814122
2912.007297702244	0.99973583	0.008141326
2912.0086866254223	0.99952465	0.008153556
2912.0100755490657	0.9930017	0.00813201
2912.0114644722435	1.015598	0.008158717
2912.012853395422	0.9965126	0.008149714
2912.0142423190646	0.9919312	0.008136064
2912.0156312422423	0.9936255	0.008134732
2912.0170201654205	0.9988869	0.008140318
